unit,bop_item,stk_flow,partner,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
PCH_OECD_5Y,GS,CRE,WRL_REST,AT	: 	: 	: 	: 	: 	-8.88 	-0.59 	9.25 	9.10 	12.69 	21.76 	12.92 	11.48 	6.32 	1.85 	-5.45 	-5.68 	-15.35 	-13.84 	-11.49 	-9.19 	-6.01 	-0.35 	0.76 	-0.39 
PCH_OECD_5Y,GS,CRE,WRL_REST,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.89 	-3.97 	2.36 	-0.93 	-1.32 	-4.30 	-0.57 	-8.66 	-8.06 	-8.95 	-13.62 	-8.11 	-0.95 	-3.66 	-4.79 
PCH_OECD_5Y,GS,CRE,WRL_REST,BG	: 	: 	: 	: 	: 	: 	: 	: 	39.54 	64.63 	53.47 	59.15 	59.33 	50.33 	29.07 	16.82 	19.77 	7.04 	5.46 	10.93 	13.11 	5.86 	17.09 	10.32 	13.40 
PCH_OECD_5Y,GS,CRE,WRL_REST,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-16.19 e	-11.33 e	-16.89 e	0.57 	-6.83 	-2.00 	-12.44 	-7.10 	-16.06 	-4.79 	4.46 	16.58 	18.24 	11.67 
PCH_OECD_5Y,GS,CRE,WRL_REST,CZ	: 	: 	: 	8.95 	10.57 	1.42 	15.00 	33.69 	30.89 	67.92 	90.95 	75.88 	73.85 	70.33 	37.90 	20.87 	15.75 	3.29 	-4.70 	-1.50 	-1.93 	-0.62 	5.60 	8.39 	3.24 
PCH_OECD_5Y,GS,CRE,WRL_REST,DE	: 	-18.23 	-18.43 	-1.58 	-3.73 	-8.97 	-1.29 	6.35 	7.84 	15.04 	20.10 	14.52 	12.77 	6.14 	1.04 	-0.57 	-2.29 	-9.99 	-8.10 	-4.94 	-3.20 	-1.20 	2.87 	0.57 	-2.85 
PCH_OECD_5Y,GS,CRE,WRL_REST,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.23 	6.75 	7.23 	-3.30 	-7.06 	-11.04 	-13.19 	-11.61 	-8.54 	-6.04 	-1.01 	-2.86 	0.79 
PCH_OECD_5Y,GS,CRE,WRL_REST,EE	: 	: 	: 	154.14 	75.82 	17.58 	18.93 	3.99 	5.21 	24.96 	75.09 	60.81 	68.96 	52.42 	26.13 	18.48 	34.09 	15.62 	16.10 	26.61 	7.24 	-3.91 	-0.94 	-2.67 	0.20 
PCH_OECD_5Y,GS,CRE,WRL_REST,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.19 e	19.97 	16.66 	-2.77 	-8.76 	-10.73 	-20.27 	-22.52 	-15.32 	-14.02 	-12.73 	-3.10 	3.81 	1.82 
PCH_OECD_5Y,GS,CRE,WRL_REST,ES	: 	: 	: 	34.87 	21.75 	7.31 	8.62 	10.24 	12.00 	9.97 	12.31 	4.01 	4.76 	-4.52 	-1.12 	-4.47 	-1.17 	-10.81 	-5.24 	-7.01 	-3.34 	-0.46 	6.76 	1.89 	0.83 
PCH_OECD_5Y,GS,CRE,WRL_REST,FI	: 	: 	: 	: 	: 	-3.76 	-1.39 	3.37 	-0.45 	6.16 	2.20 	2.58 	4.61 	6.32 	-6.05 	-13.14 	-17.57 	-26.86 	-28.67 	-23.63 	-23.10 	-18.53 	-7.66 	-6.18 	2.73 
PCH_OECD_5Y,GS,CRE,WRL_REST,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	-5.75 	1.59 	-4.42 	-8.43 	-9.27 	-6.33 	-10.38 	-8.86 	-11.66 	-9.40 	-10.21 	-3.72 	-2.16 	-0.09 	-1.52 	-2.20 
PCH_OECD_5Y,GS,CRE,WRL_REST,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	45.27 	26.64 	20.33 	9.33 	4.01 	-3.25 	-9.06 	-19.72 	-19.02 	-15.30 	-5.82 	5.90 	19.83 	19.44 	20.37 
PCH_OECD_5Y,GS,CRE,WRL_REST,HU	: 	: 	: 	: 	: 	46.13 	60.07 	55.31 	48.76 	57.00 	52.31 	37.95 	40.83 	36.38 	19.57 	9.06 	3.13 	-16.93 	-18.52 	-12.61 	-9.35 	-5.31 	7.46 	5.73 	4.04 
PCH_OECD_5Y,GS,CRE,WRL_REST,IE	: 	: 	: 	: 	: 	48.31 	61.70 	69.67 	37.03 	23.63 	18.66 	0.79 	-3.38 	-7.32 	10.45 	1.42 	-3.30 	-11.71 	-5.55 	-10.33 	37.77 	53.41 	66.62 	73.85 	68.01 
PCH_OECD_5Y,GS,CRE,WRL_REST,IT	: 	: 	: 	: 	: 	-23.92 	-15.45 	-7.77 	-6.25 	1.10 	3.61 	-2.60 	0.05 	-6.48 	-11.05 	-12.44 	-12.92 	-19.70 	-15.94 	-11.26 	-9.74 	-7.16 	-1.94 	-2.53 	-4.34 
PCH_OECD_5Y,GS,CRE,WRL_REST,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	65.26 e	46.77 e	60.36 e	37.28 	23.20 	32.60 	34.08 	17.32 	25.93 	6.41 	-4.56 	0.93 	0.54 	14.70 
PCH_OECD_5Y,GS,CRE,WRL_REST,LU	: 	: 	: 	: 	: 	17.57 	20.70 	25.45 	25.52 	24.61 	27.18 	34.50 	34.23 	20.90 	18.71 	13.83 	4.27 	3.24 	15.79 	17.22 	20.27 	23.01 	20.20 	11.53 	8.33 
PCH_OECD_5Y,GS,CRE,WRL_REST,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	107.06 	93.64 	114.64 	96.71 	65.46 	31.75 	37.28 	17.13 	11.83 	17.36 	13.17 	5.75 	4.62 	5.71 	1.75 
PCH_OECD_5Y,GS,CRE,WRL_REST,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23.44 	58.08 	49.14 	26.78 	21.30 	4.96 	-8.06 	9.03 	14.06 	18.40 	13.63 	16.03 
PCH_OECD_5Y,GS,CRE,WRL_REST,NL	: 	: 	: 	: 	: 	-7.33 	-3.00 	0.15 	2.83 	5.29 	9.45 	5.74 	7.03 	4.52 	2.60 	-0.62 	-1.22 	-5.73 	-6.36 	-6.87 	-6.79 	-6.13 	-1.27 	-0.86 	-1.05 
PCH_OECD_5Y,GS,CRE,WRL_REST,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	67.46 e	70.49 e	68.01 e	45.65 	34.59 	23.77 	9.01 	4.25 	8.81 	8.64 	14.01 	25.05 	23.37 	22.87 
PCH_OECD_5Y,GS,CRE,WRL_REST,PT	: 	: 	: 	: 	: 	: 	-6.23 	3.02 	4.14 	5.57 	6.49 	8.13 	6.37 	-2.74 	-1.00 	-0.05 	-2.91 	-10.58 	-2.94 	-2.64 	0.82 	1.79 	11.13 	5.85 	6.61 
PCH_OECD_5Y,GS,CRE,WRL_REST,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	38.48 	101.30 	94.45 	102.14 	113.57 	83.68 	65.89 	61.13 	21.43 	20.55 	27.22 	21.40 	20.67 	34.52 	20.51 	15.81 
PCH_OECD_5Y,GS,CRE,WRL_REST,SE	: 	0.49 	1.45 	16.46 	7.87 	-4.93 	-10.45 	-6.22 	-2.46 	1.48 	3.41 	9.94 	11.24 	3.68 	-8.79 	-5.61 	-5.37 	-12.97 	-12.54 	-5.06 	-9.12 	-10.57 	-7.19 	-8.42 	-6.74 
PCH_OECD_5Y,GS,CRE,WRL_REST,SI	: 	: 	: 	: 	-7.20 	-14.51 	-4.18 	10.13 	12.80 	28.33 	41.41 	35.42 	35.69 	29.45 	19.16 	6.72 	1.71 	-14.41 	-13.74 	-8.61 	-4.91 	0.03 	14.83 	16.63 	13.91 
PCH_OECD_5Y,GS,CRE,WRL_REST,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	83.92 e	46.77 e	18.75 	12.35 	4.79 	-3.00 	1.31 	7.03 	4.01 	3.81 	2.25 	-0.36 	0.09 
PCH_OECD_5Y,GS,CRE,WRL_REST,UK	: 	: 	: 	: 	: 	: 	: 	-2.23 	-0.96 	-3.52 	1.09 	2.25 	-6.60 	-14.14 	-13.00 	-17.62 	-20.39 	-15.04 	-7.16 	-5.72 	1.19 	-3.02 	-4.86 	-3.30 	-3.09 
PC_OECD,GS,CRE,WRL_REST,AT	1.63 	1.60 	1.54 	1.63 	1.61 	1.48 	1.59 	1.69 	1.78 	1.81 	1.81 	1.80 	1.88 	1.89 	1.84 	1.71 	1.69 	1.59 	1.63 	1.63 	1.55 	1.59 	1.59 	1.64 	1.62 
PC_OECD,GS,CRE,WRL_REST,BE	: 	: 	: 	: 	: 	3.24 	3.31 	3.18 	3.33 	3.35 	3.34 	3.18 	3.25 	3.30 	3.31 	3.19 	3.16 	2.97 	3.03 	3.01 	2.76 	2.91 	2.94 	2.92 	2.87 
PC_OECD,GS,CRE,WRL_REST,BG	: 	: 	: 	0.12 	0.11 	0.12 	0.13 	0.14 	0.16 	0.18 	0.19 	0.21 	0.22 	0.24 	0.23 	0.22 	0.25 	0.24 	0.26 	0.26 	0.25 	0.27 	0.28 	0.28 	0.29 
PC_OECD,GS,CRE,WRL_REST,CY	: 	: 	: 	: 	: 	: 	0.13 e	0.13 e	0.14 e	0.13 	0.12 	0.11 	0.12 	0.11 	0.13 	0.11 	0.11 	0.10 	0.10 	0.11 	0.11 	0.11 	0.12 	0.12 	0.12 
PC_OECD,GS,CRE,WRL_REST,CZ	0.51 	0.51 	0.48 	0.54 	0.52 	0.51 	0.59 	0.64 	0.71 	0.87 	0.98 	1.04 	1.12 	1.20 	1.20 	1.18 	1.20 	1.16 	1.14 	1.19 	1.16 	1.19 	1.22 	1.24 	1.22 
PC_OECD,GS,CRE,WRL_REST,DE	11.48 	11.27 	11.02 	11.49 	11.09 	10.45 	11.12 	11.71 	12.38 	12.75 	12.55 	12.74 	13.21 	13.15 	12.89 	12.48 	12.44 	11.89 	12.08 	12.25 	12.08 	12.30 	12.23 	12.15 	11.90 
PC_OECD,GS,CRE,WRL_REST,DK	: 	: 	: 	: 	: 	: 	: 	1.42 	1.45 	1.40 	1.46 	1.47 	1.47 	1.54 	1.51 	1.41 	1.37 	1.30 	1.34 	1.33 	1.29 	1.29 	1.29 	1.30 	1.34 
PC_OECD,GS,CRE,WRL_REST,EE	0.05 	0.06 	0.07 	0.08 	0.08 	0.06 	0.07 	0.07 	0.09 	0.09 	0.11 	0.11 	0.13 	0.13 	0.12 	0.13 	0.15 	0.14 	0.15 	0.15 	0.14 	0.14 	0.14 	0.15 	0.15 
PC_OECD,GS,CRE,WRL_REST,EL	: 	: 	: 	: 	: 	: 	0.55 e	0.53 	0.57 	0.64 	0.61 	0.59 	0.63 	0.66 	0.62 	0.56 	0.53 	0.51 	0.51 	0.52 	0.48 	0.46 	0.49 	0.53 	0.53 
PC_OECD,GS,CRE,WRL_REST,ES	2.77 	2.89 	2.95 	3.13 	3.13 	2.97 	3.14 	3.25 	3.51 	3.45 	3.34 	3.27 	3.41 	3.35 	3.41 	3.19 	3.23 	3.04 	3.18 	3.17 	3.08 	3.21 	3.25 	3.24 	3.20 
PC_OECD,GS,CRE,WRL_REST,FI	0.97 	0.95 	0.92 	0.97 	0.91 	0.93 	0.94 	0.96 	0.97 	0.96 	0.95 	0.96 	1.00 	1.03 	0.91 	0.83 	0.79 	0.73 	0.73 	0.69 	0.64 	0.64 	0.68 	0.69 	0.71 
PC_OECD,GS,CRE,WRL_REST,FR	: 	: 	: 	: 	7.56 	6.80 	7.04 	7.26 	7.35 	7.12 	6.91 	6.73 	6.65 	6.67 	6.67 	6.19 	6.14 	5.87 	6.05 	5.99 	5.96 	6.00 	5.87 	5.95 	5.86 
PC_OECD,GS,CRE,WRL_REST,HR	: 	: 	: 	: 	: 	0.13 	0.16 	0.17 	0.19 	0.20 	0.19 	0.20 	0.20 	0.21 	0.20 	0.19 	0.18 	0.16 	0.17 	0.17 	0.18 	0.19 	0.20 	0.20 	0.21 
PC_OECD,GS,CRE,WRL_REST,HU	0.38 	0.40 	0.44 	0.50 	0.52 	0.56 	0.63 	0.69 	0.74 	0.81 	0.85 	0.88 	0.97 	1.01 	0.97 	0.93 	0.90 	0.81 	0.82 	0.85 	0.84 	0.86 	0.87 	0.87 	0.88 
PC_OECD,GS,CRE,WRL_REST,IE	1.11 	1.16 	1.19 	1.47 	1.61 	1.64 	1.87 	2.01 	2.01 	1.98 	1.95 	1.88 	1.94 	1.86 	2.19 	1.98 	1.82 	1.72 	1.76 	1.97 	2.73 	2.79 	2.86 	3.06 	3.30 
PC_OECD,GS,CRE,WRL_REST,IT	6.72 	6.36 	5.84 	5.92 	5.44 	5.11 	5.38 	5.39 	5.55 	5.50 	5.29 	5.24 	5.39 	5.19 	4.90 	4.64 	4.56 	4.33 	4.36 	4.34 	4.18 	4.23 	4.25 	4.25 	4.16 
PC_OECD,GS,CRE,WRL_REST,LT	: 	: 	: 	: 	: 	: 	0.10 e	0.12 e	0.14 e	0.14 	0.17 	0.18 	0.18 	0.22 	0.19 	0.21 	0.23 	0.25 	0.26 	0.24 	0.22 	0.22 	0.25 	0.26 	0.28 
PC_OECD,GS,CRE,WRL_REST,LU	0.44 	0.44 	0.43 	0.46 	0.50 	0.51 	0.53 	0.54 	0.58 	0.62 	0.65 	0.71 	0.73 	0.70 	0.74 	0.74 	0.74 	0.75 	0.81 	0.87 	0.89 	0.91 	0.90 	0.91 	0.94 
PC_OECD,GS,CRE,WRL_REST,LV	: 	: 	: 	: 	: 	0.04 	0.05 	0.05 	0.06 	0.07 	0.08 	0.09 	0.11 	0.12 	0.11 	0.11 	0.12 	0.13 	0.13 	0.13 	0.13 	0.13 	0.13 	0.14 	0.13 
PC_OECD,GS,CRE,WRL_REST,MT	: 	: 	: 	: 	: 	: 	: 	: 	0.09 	0.08 	0.08 	0.09 	0.09 	0.11 	0.13 	0.12 	0.11 	0.11 	0.11 	0.12 	0.13 	0.13 	0.13 	0.13 	0.13 
PC_OECD,GS,CRE,WRL_REST,NL	5.16 	5.04 	4.91 	5.02 	4.99 	4.78 	4.89 	4.91 	5.16 	5.25 	5.24 	5.17 	5.26 	5.40 	5.39 	5.20 	5.11 	4.96 	5.05 	5.02 	4.85 	4.80 	4.89 	5.01 	4.97 
PC_OECD,GS,CRE,WRL_REST,PL	: 	: 	: 	: 	: 	: 	0.80 e	0.87 e	0.97 e	1.12 	1.23 	1.34 	1.48 	1.63 	1.63 	1.65 	1.65 	1.61 	1.70 	1.77 	1.80 	1.89 	2.01 	2.10 	2.17 
PC_OECD,GS,CRE,WRL_REST,PT	: 	0.64 	0.61 	0.66 	0.63 	0.59 	0.60 	0.63 	0.69 	0.67 	0.62 	0.65 	0.67 	0.67 	0.66 	0.62 	0.63 	0.60 	0.65 	0.65 	0.63 	0.64 	0.67 	0.68 	0.69 
PC_OECD,GS,CRE,WRL_REST,RO	: 	: 	: 	: 	0.18 	0.14 	0.16 	0.19 	0.21 	0.25 	0.28 	0.31 	0.38 	0.45 	0.45 	0.46 	0.50 	0.47 	0.54 	0.57 	0.56 	0.60 	0.63 	0.65 	0.66 
PC_OECD,GS,CRE,WRL_REST,SE	2.05 	2.08 	2.00 	2.03 	2.02 	1.95 	1.86 	1.88 	1.98 	2.05 	2.02 	2.04 	2.09 	2.06 	1.87 	1.90 	1.93 	1.82 	1.80 	1.77 	1.73 	1.73 	1.69 	1.65 	1.65 
PC_OECD,GS,CRE,WRL_REST,SI	0.21 	0.20 	0.19 	0.20 	0.19 	0.18 	0.19 	0.21 	0.23 	0.24 	0.25 	0.26 	0.29 	0.30 	0.29 	0.27 	0.27 	0.25 	0.26 	0.26 	0.25 	0.27 	0.28 	0.30 	0.30 
PC_OECD,GS,CRE,WRL_REST,SK	: 	: 	: 	: 	: 	: 	: 	0.35 e	0.44 e	0.50 	0.52 	0.59 	0.64 	0.65 	0.60 	0.59 	0.62 	0.62 	0.65 	0.64 	0.61 	0.64 	0.63 	0.65 	0.64 
PC_OECD,GS,CRE,WRL_REST,UK	: 	: 	7.65 	7.49 	7.56 	7.28 	7.42 	7.48 	7.42 	7.29 	7.36 	7.58 	6.99 	6.37 	6.34 	6.06 	6.04 	5.94 	5.91 	5.98 	6.13 	5.85 	5.65 	5.72 	5.80 
